# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/ti/QUARTUS/VGA2.1/output_files/interface_vga.csv
# Generated on: Wed Jun  8 17:10:54 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
green[7],Output,PIN_C9,8,B8_N1,PIN_C9,2.5 V,,,,,
green[6],Output,PIN_F10,8,B8_N1,PIN_F10,2.5 V,,,,,
green[5],Output,PIN_B8,8,B8_N1,PIN_B8,2.5 V,,,,,
green[4],Output,PIN_C8,8,B8_N1,PIN_C8,2.5 V,,,,,
green[3],Output,PIN_H12,8,B8_N1,PIN_H12,2.5 V,,,,,
green[2],Output,PIN_F8,8,B8_N2,PIN_F8,2.5 V,,,,,
green[1],Output,PIN_G11,8,B8_N1,PIN_G11,2.5 V,,,,,
green[0],Output,PIN_G8,8,B8_N2,PIN_G8,2.5 V,,,,,
h_sync,Output,PIN_G13,8,B8_N0,PIN_G13,2.5 V,,,,,
n_blank,Output,PIN_F11,8,B8_N1,PIN_F11,2.5 V,,,,,
n_sync,Output,PIN_C10,8,B8_N0,PIN_C10,2.5 V,,,,,
red[7],Output,PIN_H10,8,B8_N1,PIN_H10,2.5 V,,,,,
red[6],Output,PIN_H8,8,B8_N2,PIN_H8,2.5 V,,,,,
red[5],Output,PIN_J12,8,B8_N0,PIN_J12,2.5 V,,,,,
red[4],Output,PIN_G10,8,B8_N1,PIN_G10,2.5 V,,,,,
red[3],Output,PIN_F12,8,B8_N1,PIN_F12,2.5 V,,,,,
red[2],Output,PIN_D10,8,B8_N1,PIN_D10,2.5 V,,,,,
red[1],Output,PIN_E11,8,B8_N1,PIN_E11,2.5 V,,,,,
red[0],Output,PIN_E12,8,B8_N1,PIN_E12,2.5 V,,,,,
v_sync,Output,PIN_C13,8,B8_N0,PIN_C13,2.5 V,,,,,
vga_clk,Output,PIN_A12,8,B8_N0,PIN_A12,2.5 V,,,,,
CLK,Unknown,PIN_Y2,2,B2_N0,,,,,,,
VGA_B[7],Unknown,PIN_D12,8,B8_N0,,2.5 V,,,,,
VGA_B[6],Unknown,PIN_D11,8,B8_N1,,2.5 V,,,,,
VGA_B[5],Unknown,PIN_C12,8,B8_N0,,2.5 V,,,,,
VGA_B[4],Unknown,PIN_A11,8,B8_N0,,2.5 V,,,,,
VGA_B[3],Unknown,PIN_B11,8,B8_N0,,2.5 V,,,,,
VGA_B[2],Unknown,PIN_C11,8,B8_N1,,2.5 V,,,,,
VGA_B[1],Unknown,PIN_A10,8,B8_N0,,2.5 V,,,,,
VGA_B[0],Unknown,PIN_B10,8,B8_N0,,2.5 V,,,,,
VGA_G[7],Unknown,PIN_C9,8,B8_N1,,2.5 V,,,,,
VGA_G[6],Unknown,PIN_F10,8,B8_N1,,2.5 V,,,,,
VGA_G[5],Unknown,PIN_B8,8,B8_N1,,2.5 V,,,,,
VGA_G[4],Unknown,PIN_C8,8,B8_N1,,2.5 V,,,,,
VGA_G[3],Unknown,PIN_H12,8,B8_N1,,2.5 V,,,,,
VGA_G[2],Unknown,PIN_F8,8,B8_N2,,2.5 V,,,,,
VGA_G[1],Unknown,PIN_G11,8,B8_N1,,2.5 V,,,,,
VGA_G[0],Unknown,PIN_G8,8,B8_N2,,2.5 V,,,,,
VGA_HS,Unknown,PIN_G13,8,B8_N0,,,,,,,
VGA_R[7],Unknown,PIN_H10,8,B8_N1,,2.5 V,,,,,
VGA_R[6],Unknown,PIN_H8,8,B8_N2,,2.5 V,,,,,
VGA_R[5],Unknown,PIN_J12,8,B8_N0,,2.5 V,,,,,
VGA_R[4],Unknown,PIN_G10,8,B8_N1,,2.5 V,,,,,
VGA_R[3],Unknown,PIN_F12,8,B8_N1,,2.5 V,,,,,
VGA_R[2],Unknown,PIN_D10,8,B8_N1,,2.5 V,,,,,
VGA_R[1],Unknown,PIN_E11,8,B8_N1,,2.5 V,,,,,
VGA_R[0],Unknown,PIN_E12,8,B8_N1,,2.5 V,,,,,
VGA_VS,Unknown,PIN_C13,8,B8_N0,,,,,,,
